linea,cambio_tipo_principal,n,oee_medio,oee_mediano
14,Pack. Secundario,186,0.3894,0.406
14,Contenido,78,0.4566,0.4719
14,Palet,72,0.4472,0.456
14,Referencia,30,0.475,0.4788
14,-2,29,0.477,0.5153
14,"Pack, Primario",26,0.3624,0.3515
14,Marca,4,0.4602,0.4848
14,Tapa/Tapón,4,0.4516,0.502
14,Volumen Envase,2,0.2479,0.2479
17,Contenido,429,0.5246,0.536
17,Pack. Secundario,345,0.5267,0.5343
17,Palet,67,0.5852,0.5669
17,Marca,38,0.506,0.5045
17,Referencia,30,0.5928,0.6197
17,-2,23,0.5404,0.5437
17,Tapa/Tapón,1,0.3328,0.3328
19,Contenido,249,0.4852,0.495
19,Pack. Secundario,170,0.4748,0.4712
19,Volumen Envase,107,0.3923,0.3592
19,"Pack, Primario",101,0.436,0.4308
19,Palet,68,0.6255,0.6571
19,Referencia,36,0.5501,0.5499
19,Marca,30,0.4352,0.4374
19,-2,12,0.611,0.6191
19,Tapa/Tapón,7,0.6348,0.6472
