linea,categoria,n_ofs,horas_totales,minutos_medios_por_of,minutos_medianos_por_of
14,paro_maquina,436,2503.5,344.5,227.3
14,pnp,436,2316.9,318.8,195.3
14,saturacion_salida,436,1342.0,184.7,109.2
14,baja_velocidad,436,1032.2,142.1,66.2
14,idle,436,73.3,10.1,0.0
14,cip,436,30.6,4.2,0.0
14,falta_producto,436,22.5,3.1,0.5
14,esterilizacion,436,9.5,1.3,0.0
17,paro_maquina,950,2561.3,161.8,121.3
17,pnp,950,2084.9,131.7,88.2
17,saturacion_salida,950,744.9,47.0,18.9
17,baja_velocidad,950,575.0,36.3,18.4
17,falta_producto,950,219.2,13.8,6.9
17,idle,950,84.5,5.3,0.0
17,esterilizacion,950,56.7,3.6,0.0
17,cip,950,35.1,2.2,0.0
19,paro_maquina,792,2151.2,163.0,115.7
19,pnp,792,1709.0,129.5,85.8
19,baja_velocidad,792,1002.4,75.9,33.3
19,saturacion_salida,792,573.1,43.4,21.0
19,idle,792,224.7,17.0,0.0
19,falta_producto,792,204.7,15.5,8.1
19,esterilizacion,792,40.4,3.1,0.0
19,cip,792,25.7,1.9,0.0
