linea,anyo,mes,n,oee_medio,hl
14,2025,1,37,0.3804,32283.3
14,2025,2,40,0.4449,45718.8
14,2025,3,19,0.3907,29424.6
14,2025,4,28,0.4423,48610.3
14,2025,5,43,0.4219,48575.0
14,2025,6,39,0.4505,51328.2
14,2025,7,46,0.3634,52669.5
14,2025,8,31,0.4262,47684.0
14,2025,9,31,0.4296,60691.7
14,2025,10,47,0.4814,68773.7
14,2025,11,35,0.4126,47303.7
14,2025,12,32,0.3981,33837.7
17,2025,1,62,0.524,71410.7
17,2025,2,73,0.5761,98466.9
17,2025,3,94,0.5572,115365.6
17,2025,4,77,0.5093,97248.8
17,2025,5,102,0.5275,103032.9
17,2025,6,92,0.5153,106346.0
17,2025,7,83,0.46,99588.7
17,2025,8,85,0.528,111822.9
17,2025,9,71,0.5582,102861.2
17,2025,10,64,0.5189,73434.1
17,2025,11,72,0.5528,78490.3
17,2025,12,59,0.5688,70082.5
19,2025,1,72,0.5021,68118.8
19,2025,2,63,0.4999,90547.2
19,2025,3,57,0.4964,96177.4
19,2025,4,77,0.513,96869.6
19,2025,5,45,0.4216,59975.2
19,2025,6,72,0.4595,93337.6
19,2025,7,87,0.5054,122896.7
19,2025,8,80,0.4756,112278.4
19,2025,9,65,0.4598,119792.6
19,2025,10,57,0.4707,85782.8
19,2025,11,60,0.4544,90876.5
19,2025,12,45,0.4702,60773.6
