sku,marca,familia,tipo_envase,n_ofs,uds_total,hl_total,oee_medio
ED13LTW,ESTRELLA DAMM,130624PCAFCT00,LATA 1/3 SR.,132,96904066.0,318707.5,0.5631
VO13LTNN,VOLL DAMM,130624PCAFCT00,LATA 1/3 SR.,77,67468389.0,217588.7,0.5781
3BNZFLB1,LA FRÍA,130024PCTR0000,LATA 1/3 SR.,36,61383609.0,200278.6,0.6261
3BNEBL23,EMD BRAU,130012PCDF0000,LATA 1/3 SR.,45,53167883.0,160189.9,0.4705
ED13LTCW,ESTRELLA DAMM,130624PCAFCT00,LATA 1/3 SR.,69,51573593.0,163776.9,0.565
ED13P12M,ESTRELLA DAMM,131212MP00PK00,LATA 1/3 SR.,54,32508067.0,106380.6,0.5979
ED12LTW,ESTRELLA DAMM,120624PCAFCT00,LATA 1/2 SR.,33,25736462.0,128682.3,0.5586
XI13LTN,XIBECA,130624PCAFCT00,LATA 1/3 SR.,44,25214168.0,81154.7,0.6107
ED13LP12,ESTRELLA DAMM,131212PC00PK00,LATA 1/3 SR.,55,23198048.0,76572.5,0.5809
SK13LN,SKOL,130624PCAFCT00,LATA 1/3 SR.,35,19513436.0,61985.8,0.5732
3BNHJLB2,SHEKELS,130024PCTR0000,LATA 1/3 SR.,8,17504462.0,57764.8,0.7417
TU13LTN,TURIA MARZEN,130624PCAFCT00,LATA 1/3 SR.,43,14384472.0,45709.9,0.5979
DL13LT,DAMM LEMON,130624PCAFCT00,LATA 1/3 SR.,23,12542979.0,41391.9,0.5399
FDL13LN,FREE DAMM LIMON,130624PCAFCT00,LATA 1/3 SR.,40,11684245.0,38558.0,0.5087
FDT13LT,FREE DAMM TOSTADA,130624PCAFCT00,LATA 1/3 SR.,44,11596183.0,37103.0,0.5403
3BNULLB0,UNLAGUER,130024PCTR0000,LATA 1/3 SR.,6,11122089.0,36702.9,0.6761
LC13LTNN,ESTRELLA LEVANTE,130624PCAFCT00,LATA 1/3 SR.,19,10969783.0,34259.5,0.5556
VO13PL12,VOLL DAMM,131212PC00PK00,LATA 1/3 SR.,40,10964584.0,34644.7,0.5693
FD13LTNN,FREE DAMM,130624PCAFCT00,LATA 1/3 SR.,32,10865862.0,34917.9,0.5508
3BVMLLB0,Molen,130024PCTR0000,LATA 1/3 SR.,13,10216153.0,33713.3,0.513
ED13LTMW,ESTRELLA DAMM,130606MP00CT00,LATA 1/3 SR.,34,9101315.0,29160.5,0.4417
VO13LP24,VOLL DAMM,132424PC00PK00,LATA 1/3 SR.,29,8315659.0,27441.7,0.5969
TU13LP12,TURIA MARZEN,131212PC00PK00,LATA 1/3 SR.,29,7873431.0,24895.9,0.555
EX25LBAN,ESTRELLA DAMM,250424PATRCT00,LATA 2/5,11,7483529.0,32927.5,0.5147
DL13LN,DAMM LEMON,130624PCAFCT00,LATA 1/3 SR.,19,7003759.0,23112.4,0.5033
3BNAULD1,AURUM,130012MPDF0000,LATA 1/3 SR.,8,6946091.0,22922.1,0.5032
KE13LTNN,KELER,130624PCAFCT00,LATA 1/3 SR.,35,6455368.0,21302.7,0.4933
3BNCDLD2,COVIRAN,130012MPDF0000,LATA 1/3 SR.,4,5547345.0,18306.2,0.5399
ED13P24M,ESTRELLA DAMM,132424MP00PK00,LATA 1/3 SR.,34,5419365.0,17883.9,0.5316
FD13LN,FREE DAMM,130624PCAFCT00,LATA 1/3 SR.,14,5247973.0,16643.2,0.5999
