sku,marca,tipo_envase,n_ofs,oee_medio
DL13LP4A,DAMM LEMON,LATA 1/3 SR.,16,0.2334
FD13LP4A,FREE DAMM,LATA 1/3 SR.,10,0.2856
CM13LT,COMPLOT,LATA 1/3 SR.,15,0.3018
SK13L12,SKOL,LATA 1/3 SR.,13,0.3103
SK1312MN,SKOL,LATA 1/3 SR.,19,0.3461
EN13LB24,ESTRELLA NON-ALCOHOLIC,LATA 1/3 SR.,10,0.3556
LC12LTW,ESTRELLA LEVANTE,LATA 1/2 SR.,23,0.3638
RB13LTN,ROSA BLANCA,LATA 1/3 SR.,14,0.3681
RB13L12N,ROSA BLANCA,LATA 1/3 SR.,15,0.3701
TNT13LT,TURIA MARZEN 0'0 TOSTADA,LATA 1/3 SR.,13,0.3735
EX13LTIB,ESTRELLA DAMM,LATA 1/3 SR.,10,0.3857
EX1224LB,ESTRELLA DAMM,LATA 1/2 SR.,13,0.3889
EN25LBUK,ESTRELLA NON-ALCOHOLIC,LATA 2/5,10,0.3897
VO13LTP6,VOLL DAMM,LATA 1/3 SR.,22,0.3978
ED13LCMM,ESTRELLA DAMM,LATA 1/3 SR.,27,0.3979
7BNS9LB1,SAN MARCOS,LATA 2/5,17,0.4001
VO13LTMN,VOLL DAMM,LATA 1/3 SR.,29,0.4075
EX1324BN,ESTRELLA DAMM,LATA 1/3 SR.,17,0.4084
7BNG3LB2,GRANDE,LATA 2/5,13,0.4136
VI12LTW,VICTORIA,LATA 1/2 SR.,16,0.4206
