linea,prev_sku,next_sku,prev_marca,next_marca,n,oee_medio
19,LC12LTW,VI12LTW,ESTRELLA LEVANTE,VICTORIA,14,0.4414
19,ED13LP12,ED13P12M,ESTRELLA DAMM,ESTRELLA DAMM,12,0.6377
17,FD13LTNN,FDT13LT,FREE DAMM,FREE DAMM TOSTADA,11,0.6051
17,ED13LTCW,ED13LTW,ESTRELLA DAMM,ESTRELLA DAMM,10,0.6134
17,VO13LP24,VO13LTNN,VOLL DAMM,VOLL DAMM,10,0.6191
17,ED13LTW,ED13P24M,ESTRELLA DAMM,ESTRELLA DAMM,9,0.5212
14,ED13LTW,ED13LTCW,ESTRELLA DAMM,ESTRELLA DAMM,8,0.5166
19,FD13LP12,KE13PL12,FREE DAMM,KELER,8,0.5108
14,ED13LCMM,ED13LCMW,ESTRELLA DAMM,ESTRELLA DAMM,8,0.4384
19,VO13P12M,VO13PL12,VOLL DAMM,VOLL DAMM,8,0.5997
14,ED13LTMW,ED13LTW,ESTRELLA DAMM,ESTRELLA DAMM,7,0.4484
14,VO13L6M1,VO13LTP6,VOLL DAMM,VOLL DAMM,7,0.4449
17,FDT13LT,VNT13LT,FREE DAMM TOSTADA,"VICTORIA 0,0 TOSTADA",7,0.4518
14,SK1312MN,SK13L12,SKOL,SKOL,7,0.341
19,KE13PL12,TU13LP12,KELER,TURIA MARZEN,7,0.546
17,ED13LTFW,ED13LTW,ESTRELLA DAMM,ESTRELLA DAMM,7,0.5817
14,VO13LTMN,VO13LTP6,VOLL DAMM,VOLL DAMM,6,0.4061
19,VO12LT,ED12LTW,VOLL DAMM,ESTRELLA DAMM,6,0.5852
17,ED13LTCW,FD13LTNN,ESTRELLA DAMM,FREE DAMM,6,0.5014
17,ED13LP24,ED13P24M,ESTRELLA DAMM,ESTRELLA DAMM,6,0.5246
19,7BNG3LB2,7BNS9LB1,GRANDE,SAN MARCOS,6,0.4542
17,TU13LTN,VO13LTNN,TURIA MARZEN,VOLL DAMM,6,0.6252
19,VO13PL12,ED13LP12,VOLL DAMM,ESTRELLA DAMM,6,0.6735
17,ED13LTCW,FDL13LN,ESTRELLA DAMM,FREE DAMM LIMON,6,0.5562
17,VO13LTNN,VO13LP24,VOLL DAMM,VOLL DAMM,6,0.4903
19,ED13LP12,ED13LTW,ESTRELLA DAMM,ESTRELLA DAMM,6,0.639
19,TU13LP12,VO13PL12,TURIA MARZEN,VOLL DAMM,6,0.6651
19,ED13P12M,ED1312MZ,ESTRELLA DAMM,ESTRELLA DAMM,6,0.5184
17,VO13LTNN,ED13LTW,VOLL DAMM,ESTRELLA DAMM,5,0.6231
14,ED13LCMW,VO13L6M1,ESTRELLA DAMM,VOLL DAMM,5,0.4215
