linea,sku,denominacion,fecha_ini_plan,fecha_fin_plan,start_ts_plan,turno_plan,cntd_jda,cntd_plan,secuencia_plan,of_actual,fecha_fin_actual,uds_actual,hl_actual,oee,disp,rend,calid,inef,estado_join
14,FDT13LT,FREE DAMM TOSTADA 1/3 LATA LC,2026-05-18,2026-05-18,2026-05-18 10:00:00,T,7700,7700,,PRT9900017389-M,2026-05-18,434871.0,1435.07,0.4800824302195073,0.6347862886161659,0.7562898550724638,1.0,0.15470385839665862,matched
14,FDT13LT,FREE DAMM TOSTADA 1/3 LATA LC,2026-05-18,2026-05-18,2026-05-18 16:00:00,N,10400,9013,99.0,PRT9900017389-M,2026-05-18,434871.0,1435.07,0.4800824302195073,0.6347862886161659,0.7562898550724638,1.0,0.15470385839665862,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-19,2026-05-19,2026-05-19 08:00:00,T,10500,10500,,0000793838-1,2026-05-20,1367734.0,4513.52,0.6857009166186214,0.8366463623526266,0.8195827382676347,1.0,0.15094544573400512,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-19,2026-05-19,2026-05-19 16:00:00,N,10500,10500,,0000793838-1,2026-05-20,1367734.0,4513.52,0.6857009166186214,0.8366463623526266,0.8195827382676347,1.0,0.15094544573400512,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-20,2026-05-20,2026-05-20 00:00:00,M,10500,10500,,0000793838-1,2026-05-20,1367734.0,4513.52,0.6857009166186214,0.8366463623526266,0.8195827382676347,1.0,0.15094544573400512,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-20,2026-05-20,2026-05-20 08:00:00,T,10500,10500,,0000793838-1,2026-05-20,1367734.0,4513.52,0.6857009166186214,0.8366463623526266,0.8195827382676347,1.0,0.15094544573400512,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-20,2026-05-20,2026-05-20 16:00:00,N,8400,8400,,0000793838-1,2026-05-20,1367734.0,4513.52,0.6857009166186214,0.8366463623526266,0.8195827382676347,1.0,0.15094544573400512,matched
14,VO13LTMP,VOLL DAMM 33CL LT LC6 MP,2026-05-21,2026-05-21,2026-05-21 08:00:00,T,4250,4250,,0000798907-1,2026-05-20,186465.0,615.33,0.3968850888707561,0.5044169297903289,0.7868195245463497,1.0,0.10753184091957285,matched
14,VO13LTMP,VOLL DAMM 33CL LT LC6 MP,2026-05-21,2026-05-21,2026-05-21 10:00:00,N,3000,3000,,0000798907-1,2026-05-20,186465.0,615.33,0.3968850888707561,0.5044169297903289,0.7868195245463497,1.0,0.10753184091957285,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-21,2026-05-21,2026-05-21 16:00:00,N,6000,6000,,0000793838-1,2026-05-20,1367734.0,4513.52,0.6857009166186214,0.8366463623526266,0.8195827382676347,1.0,0.15094544573400512,matched
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-22,2026-05-22,2026-05-22 16:00:00,N,10500,10500,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-22,2026-05-22,2026-05-22 08:00:00,T,10500,10500,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-22,2026-05-22,2026-05-22 00:00:00,M,10500,10500,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-23,2026-05-23,2026-05-23 16:00:00,N,9975,9975,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-23,2026-05-23,2026-05-23 08:00:00,T,9975,9975,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-23,2026-05-23,2026-05-23 00:00:00,M,9975,9975,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-24,2026-05-24,2026-05-24 16:00:00,N,9975,9975,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-24,2026-05-24,2026-05-24 08:00:00,T,9975,9975,,,,,,,,,,,only_plan
14,ED13LTNN,ESTRELLA DAMM 1/3 LATA LC,2026-05-24,2026-05-24,2026-05-24 00:00:00,M,9975,9975,,,,,,,,,,,only_plan
14,FDT13LTM,,,,,,,,,PRT9900017388-M,2026-05-18,75362.0,248.7,0.6255707762557078,0.8079424380794243,0.7742764171947252,1.0,0.1823716618237166,only_actual
