kind,of,linea,fecha_fin,sku,marca,oee,horas_totales,horas_cip
best,0000570206-1,17,2025-04-22,FD13LN,FREE DAMM,1.573048827374087,1.4605555555555556,0.0
best,PRT9900015467-M,19,2025-02-13,ED13P12M,ESTRELLA DAMM,0.9234411996842935,0.7038888888888889,0.0
best,0000589724-1,17,2025-05-28,XI13LP12,XIBECA,0.9026602176541717,0.9188888888888889,0.0
best,0000543295-1,19,2025-02-21,3BNULLB0,UNLAGUER,0.8691355629913411,51.5525,0.0
best,0000676483-1,19,2025-10-17,3BNZFLB1,LA FRÍA,0.863137159664319,31.114722222222223,0.0
best,0000530634-1,19,2025-01-24,3BNZFLB1,LA FRÍA,0.8502371503242667,14.348611111111111,0.0
best,0000667570-1,19,2025-09-28,3BNZFLB1,LA FRÍA,0.8465031153122317,96.29416666666667,0.0
best,0000620488-1,19,2025-07-19,3BNZFLB1,LA FRÍA,0.8432888010031832,29.345555555555556,0.0
best,0000535069-1,19,2025-02-07,VO13P12M,VOLL DAMM,0.8405381944444444,3.2,0.0
best,PRT9900016778-M,17,2025-12-03,VO13LP24,VOLL DAMM,0.8375767560281564,3.7094444444444443,0.0
worst,0000574254-1,17,2025-04-28,VO13P12M,VOLL DAMM,0.09977661950856291,0.7461111111111111,0.0
worst,PRT9900015618-M,14,2025-03-24,ED13LTW,ESTRELLA DAMM,0.08446455505279034,1.6666666666666667,0.0
worst,0000694994-1,14,2025-11-11,3BNZFLB1,LA FRÍA,0.0779598308668076,1.0725,0.0
worst,0000660750-1,19,2025-09-17,ID12LBN,INEDIT,0.06309240836928133,9.465833333333334,2.9697222222222224
worst,PRT9900015627-M,17,2025-03-28,OL13LTN,ORO,0.058622699641935214,3.3425,1.451111111111111
worst,0000689263-1,17,2025-11-03,ED13LTCW,ESTRELLA DAMM,0.04912594776748105,5.2844444444444445,0.0
worst,0000689263-1,17,2025-11-03,ED13LTCW,ESTRELLA DAMM,0.04912594776748105,5.2844444444444445,0.0
worst,0000530603-1,14,2025-01-27,ED13LTW,ESTRELLA DAMM,0.012042389210019268,0.5766666666666667,0.0
worst,0000589707-1,17,2025-06-04,FDL13LN,FREE DAMM LIMON,0.0016277807921866521,0.5119444444444444,0.0
worst,0000684006-1,19,2025-10-23,CM13LT,COMPLOT,0.0014820042342978124,3.936111111111111,0.0
