linea,fecha,n_skus,prog_prod_hl,prog_acord_hl,delta_hl,total_cambios,total_modif_formato,total_modif_cantidad,total_inclusiones,total_exclusiones
14,2026-05-18,4,2399.8,2399.8,0.0,,,,,
14,2026-05-19,1,1663.2,1663.2,0.0,,,,,
14,2026-05-20,1,2328.5,2328.5,0.0,,,,,
14,2026-05-21,2,1049.4,1247.4,198.0,2.0,1.0,1.0,1.0,
17,2026-05-18,5,3623.2,3623.2,0.0,,,,,
17,2026-05-19,3,4389.3,4428.9,39.6,,,,,
17,2026-05-20,3,1960.4,1960.4,0.0,,,,,
17,2026-05-21,4,4417.8,4417.8,0.0,,,,,
19,2026-05-18,5,10486.9,10486.9,0.0,,,,,
19,2026-05-19,5,14932.5,14972.1,39.6,,,,,
19,2026-05-20,2,14704.8,15088.8,384.0,2.0,,2.0,,
19,2026-05-21,9,11911.3,11725.2,-186.0,6.0,3.0,3.0,1.0,2.0
